[15, 14, 34, 10, 3, 2]
[32, 1, 20, 31, 26, 7]
[24, 4, 23, 21, 28, 9]
[36, 5, 16, 30, 11, 13]
[27, 19, 8, 33, 17, 6]
[34, 36, 18, 25, 26, 12]
[20, 25, 35, 3, 17, 29]
[14, 32, 27, 24, 18, 11]
[19, 16, 26, 14, 35, 28]
[10, 27, 7, 9, 25, 30]
[15, 22, 11, 6, 1, 9]
[10, 12, 32, 16, 33, 29]
[19, 31, 22, 18, 23, 3]
[20, 28, 22, 33, 2, 13]
[7, 6, 35, 4, 12, 13]
[8, 35, 21, 5, 10, 18]
[16, 2, 25, 24, 1, 8]
[36, 29, 31, 21, 2, 6]
[31, 30, 15, 33, 24, 35]
[12, 14, 5, 1, 23, 17]
[30, 34, 32, 21, 22, 17]
[12, 22, 13, 25, 1, 19]
[3, 18, 2, 20, 5, 7]
[26, 1, 19, 24, 3, 9]
[22, 7, 26, 29, 35, 18]
[26, 16, 22, 15, 27, 12]
[4, 18, 6, 24, 31, 10]
[13, 9, 31, 15, 29, 20]
[34, 17, 11, 36, 33, 23]
[12, 5, 22, 29, 2, 34]
[27, 10, 19, 29, 3, 21]
[33, 11, 25, 16, 4, 27]
[34, 2, 13, 35, 23, 8]
[1, 18, 17, 28, 10, 33]
[3, 7, 32, 17, 16, 9]
[24, 29, 34, 6, 7, 1]
[33, 30, 11, 20, 29, 19]
[4, 17, 6, 28, 11, 5]
[12, 7, 24, 8, 19, 23]
[36, 9, 15, 14, 25, 33]
[23, 26, 27, 6, 3, 36]
[11, 31, 2, 35, 25, 28]
[21, 4, 7, 2, 26, 10]
[30, 9, 21, 2, 18, 33]
[21, 20, 35, 7, 16, 27]
[6, 14, 13, 34, 18, 22]
[5, 7, 17, 22, 36, 31]
[10, 36, 22, 23, 20, 32]
[25, 29, 23, 2, 18, 32]
[1, 18, 12, 30, 29, 31]
[35, 1, 11, 36, 8, 12]
[11, 2, 19, 16, 18, 34]
[20, 32, 13, 4, 25, 8]
[17, 13, 11, 31, 3, 10]
[26, 12, 20, 4, 9, 14]
[8, 36, 27, 28, 7, 15]
[19, 6, 15, 7, 26, 30]
[31, 30, 9, 19, 5, 8]
[6, 27, 15, 25, 34, 21]
[12, 15, 17, 25, 30, 28]
[30, 14, 6, 29, 5, 25]
[26, 5, 28, 34, 9, 27]
[7, 1, 36, 14, 13, 2]
[31, 13, 14, 24, 12, 28]
[34, 14, 29, 8, 28, 21]
[4, 14, 6, 3, 1, 8]
[19, 32, 15, 23, 4, 16]
[24, 15, 17, 5, 18, 29]
[8, 22, 36, 4, 33, 30]
[31, 4, 23, 27, 34, 12]
[20, 15, 16, 6, 28, 3]
[9, 3, 2, 35, 36, 22]
[5, 34, 19, 25, 32, 24]
[14, 10, 21, 9, 32, 1]
[23, 16, 30, 20, 24, 34]
[27, 22, 17, 35, 4, 1]
[32, 24, 15, 3, 12, 36]
[12, 28, 27, 2, 1, 32]
[23, 5, 9, 33, 10, 6]
[34, 14, 16, 7, 33, 31]
[11, 21, 30, 4, 14, 35]
[32, 24, 26, 30, 2, 13]
[30, 8, 32, 10, 11, 15]
[1, 21, 26, 13, 29, 11]
[5, 33, 3, 21, 1, 16]
[19, 20, 21, 17, 5, 26]
[19, 4, 3, 28, 36, 25]
[30, 23, 33, 3, 13, 14]
[7, 21, 19, 36, 32, 18]
[5, 26, 8, 23, 29, 16]
[8, 7, 11, 33, 9, 13]
[12, 9, 10, 19, 11, 28]
[16, 14, 21, 17, 18, 25]
[1, 18, 36, 16, 4, 20]
[32, 5, 16, 2, 6, 35]
[6, 11, 21, 20, 23, 18]
[34, 7, 3, 11, 28, 22]
[23, 28, 13, 10, 16, 25]
[34, 1, 28, 15, 13, 4]
[11, 8, 14, 31, 22, 20]
[17, 24, 31, 26, 23, 25]
[18, 7, 17, 27, 13, 23]
[36, 27, 30, 19, 1, 34]
[28, 22, 24, 32, 6, 8]
[4, 34, 32, 29, 26, 3]
[20, 8, 2, 30, 12, 6]
[10, 3, 25, 8, 26, 22]
[24, 21, 27, 13, 22, 36]
[14, 4, 19, 33, 2, 24]
[14, 5, 34, 35, 20, 36]
[32, 31, 27, 29, 8, 35]
[26, 2, 15, 1, 23, 33]
[17, 12, 20, 34, 10, 7]
[1, 30, 10, 5, 24, 22]
[7, 21, 11, 12, 15, 31]
[26, 14, 17, 13, 15, 8]
[29, 9, 22, 19, 14, 17]
[17, 9, 31, 35, 34, 6]
[20, 28, 30, 32, 35, 18]
[24, 8, 34, 9, 10, 36]
[10, 20, 19, 18, 25, 15]
[36, 17, 1, 32, 25, 6]
[2, 29, 16, 13, 4, 17]
[27, 13, 5, 1, 20, 6]
[18, 35, 23, 9, 15, 12]
[35, 27, 15, 3, 11, 5]
[28, 29, 5, 19, 13, 7]
[5, 9, 25, 16, 22, 20]
[23, 7, 11, 10, 29, 14]
[33, 19, 35, 21, 25, 23]
[35, 18, 6, 26, 36, 20]
[17, 35, 12, 2, 21, 24]
[26, 21, 30, 3, 28, 31]
[34, 12, 9, 3, 13, 21]
[5, 24, 31, 1, 26, 33]
[24, 26, 10, 28, 29, 20]
[7, 24, 25, 36, 20, 11]
[24, 22, 3, 20, 19, 11]
[17, 21, 31, 32, 15, 18]
[31, 27, 28, 21, 23, 18]
[30, 8, 3, 27, 18, 16]
[31, 7, 17, 4, 11, 25]
[24, 18, 23, 7, 2, 10]
[4, 10, 29, 36, 15, 35]
[11, 27, 2, 9, 17, 20]
[15, 33, 25, 21, 1, 17]
[1, 15, 32, 33, 35, 29]
[26, 6, 23, 5, 22, 4]
[1, 32, 25, 35, 23, 22]
[33, 32, 4, 22, 18, 5]
[25, 11, 15, 8, 3, 33]
[34, 2, 25, 20, 33, 23]
[19, 36, 13, 26, 33, 10]
[4, 35, 31, 29, 19, 20]
[16, 9, 17, 19, 13, 25]
[13, 3, 29, 25, 6, 21]
[11, 10, 20, 9, 33, 34]
[31, 18, 9, 11, 36, 24]
[3, 26, 35, 28, 12, 27]
[13, 30, 3, 17, 27, 25]
[8, 14, 22, 25, 34, 32]
[22, 18, 21, 19, 25, 24]
[31, 23, 7, 30, 35, 20]
[5, 24, 35, 17, 13, 32]
[6, 17, 18, 2, 10, 3]
[27, 11, 9, 28, 14, 36]
[35, 13, 16, 1, 26, 10]
[10, 16, 29, 11, 28, 2]
[10, 1, 8, 27, 13, 19]
[27, 6, 18, 22, 30, 29]
[33, 8, 32, 6, 10, 7]
[30, 3, 14, 34, 36, 6]
[29, 13, 2, 30, 19, 27]
[21, 4, 6, 16, 18, 34]
[2, 36, 17, 16, 12, 6]
[24, 32, 15, 30, 27, 7]
[33, 28, 2, 30, 1, 11]
[22, 19, 18, 35, 13, 20]
[34, 32, 28, 21, 31, 16]
[18, 5, 31, 9, 1, 15]
[14, 17, 33, 28, 2, 5]
[8, 27, 29, 10, 11, 5]
[29, 4, 21, 8, 12, 23]
[6, 24, 5, 14, 2, 26]
[23, 14, 22, 34, 17, 31]
[30, 16, 6, 32, 19, 11]
[26, 29, 32, 14, 27, 6]
[23, 36, 33, 5, 24, 20]
[29, 24, 35, 30, 13, 8]
[22, 20, 3, 14, 26, 17]
[27, 21, 10, 15, 12, 4]
[7, 20, 35, 14, 6, 29]
[11, 30, 23, 3, 19, 28]
[27, 22, 26, 21, 2, 6]
[34, 3, 33, 5, 31, 25]
[2, 7, 23, 11, 33, 12]
[18, 19, 11, 5, 12, 35]
[23, 5, 1, 28, 27, 33]
[2, 25, 33, 29, 9, 28]
[29, 17, 6, 31, 18, 25]
[13, 20, 36, 29, 30, 26]
[20, 22, 11, 33, 17, 4]
[30, 34, 8, 23, 5, 32]
[29, 27, 6, 15, 24, 8]
[20, 25, 19, 7, 35, 5]
[17, 32, 11, 34, 29, 31]
[23, 27, 35, 31, 19, 6]
